id,chapter,name,heading,concept
"429","1000","SERVICIOS PERSONALES","",""
"430","1100","REMUNERACIONES AL PERSONAL DE CARÁCTER PERMANENTE","",""
"431","1100","REMUNERACIONES AL PERSONAL DE CARÁCTER PERMANENTE","111","Dietas"
"432","1100","REMUNERACIONES AL PERSONAL DE CARÁCTER PERMANENTE","112","Haberes"
"433","1100","REMUNERACIONES AL PERSONAL DE CARÁCTER PERMANENTE","113","Sueldos base al personal permanente"
"434","1100","REMUNERACIONES AL PERSONAL DE CARÁCTER PERMANENTE","114","Remuneraciones por adscripción laboral en el extranjero"
"435","1200","REMUNERACIONES AL PERSONAL DE CARÁCTER TRANSITORIO","",""
"436","1200","REMUNERACIONES AL PERSONAL DE CARÁCTER TRANSITORIO","121","Honorarios asimilables a salarios"
"437","1200","REMUNERACIONES AL PERSONAL DE CARÁCTER TRANSITORIO","122","Sueldos base al personal eventual"
"438","1200","REMUNERACIONES AL PERSONAL DE CARÁCTER TRANSITORIO","123","Retribuciones por servicios de carácter social"
"439","1200","REMUNERACIONES AL PERSONAL DE CARÁCTER TRANSITORIO","124","Retribución a los representantes de los trabajadores y de los patrones en la Junta de Conciliación y Arbitraje"
"440","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","",""
"441","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","131","Primas por años de servicios efectivos prestados"
"442","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","132","Primas de vacaciones, dominical y gratificación de fin de año"
"443","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","133","Horas extraordinarias"
"444","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","134","Compensaciones"
"445","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","135","Sobrehaberes"
"446","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","136","Asignaciones de técnico, de mando, por comisión, de vuelo y de técnico especial"
"447","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","137","Honorarios especiales"
"448","1300","REMUNERACIONES ADICIONALES Y ESPECIALES","138","Participaciones por vigilancia en el cumplimiento de las leyes y custodia de valores"
"449","1400","SEGURIDAD SOCIAL","",""
"450","1400","SEGURIDAD SOCIAL","141","Aportaciones de seguridad social"
"451","1400","SEGURIDAD SOCIAL","142","Aportaciones a fondos de vivienda"
"452","1400","SEGURIDAD SOCIAL","143","Aportaciones al sistema para el retiro"
"453","1400","SEGURIDAD SOCIAL","144","Aportaciones para seguros"
"454","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","",""
"455","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","151","Cuotas para el fondo de ahorro y fondo de trabajo"
"456","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","152","Indemnizaciones"
"457","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","153","Prestaciones y haberes de retiro"
"458","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","154","Prestaciones contractuales"
"459","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","155","Apoyos a la capacitación de los servidores públicos"
"460","1500","OTRAS PRESTACIONES SOCIALES Y ECONÓMICAS","159","Otras prestaciones sociales y económicas"
"461","1600","PREVISIONES","",""
"462","1600","PREVISIONES","161","Previsiones de carácter laboral, económica y de seguridad social"
"463","1700","PAGO DE ESTIMULOS A SERVIDORES PUBLICOS","",""
"464","1700","PAGO DE ESTIMULOS A SERVIDORES PUBLICOS","171","Estímulos"
"465","1700","PAGO DE ESTIMULOS A SERVIDORES PUBLICOS","172","Recompensas"
"466","2000","MATERIALES Y SUMINISTROS","",""
"467","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","",""
"468","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","211","Materiales, útiles y equipos menores de oficina"
"469","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","212","Materiales y útiles de impresión y reproducción"
"470","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","213","Material estadístico y geográfico"
"471","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","214","Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones"
"472","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","215","Material impreso e información digital"
"473","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","216","Material de limpieza"
"474","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","217","Materiales y útiles de enseñanza"
"475","2100","MATERIALES DE ADMINISTRACIÓN, EMISIÓN DE DOCUMENTOS Y ARTÍCULOS OFICIALES","218","Materiales para el registro e identificación de bienes y personas"
"476","2200","ALIMENTOS Y UTENSILIOS","",""
"477","2200","ALIMENTOS Y UTENSILIOS","221","Productos alimenticios para personas"
"478","2200","ALIMENTOS Y UTENSILIOS","222","Productos alimenticios para animales"
"479","2200","ALIMENTOS Y UTENSILIOS","223","Utensilios para el servicio de alimentación"
"480","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","",""
"481","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","231","Productos alimenticios, agropecuarios y forestales adquiridos como materia prima"
"482","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","232","Insumos textiles adquiridos como materia prima"
"483","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","233","Productos de papel, cartón e impresos adquiridos como materia prima"
"484","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","234","Combustibles, lubricantes, aditivos, carbón y sus derivados adquiridos como materia prima"
"485","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","235","Productos químicos, farmacéuticos y de laboratorio adquiridos como materia prima"
"486","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","236","Productos metálicos y a base de minerales no metálicos adquiridos como materia prima"
"487","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","237","Productos de cuero, piel, plástico y hule adquiridos como materia prima"
"488","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","238","Mercancías adquiridas para su comercialización"
"489","2300","MATERIAS PRIMAS Y MATERIALES DE PRODUCCIÓN Y COMERCIALIZACIÓN","239","Otros productos adquiridos como materia prima"
"490","2400","MATERIALES Y ARTÍCULOS DE CONSTRUCCIÓN Y DE REPARACIÓN","",""
